2019-06-25 22:20:42,Donald J. Trump,1143645216907378695,"Senator Thom Tillis of North Carolina has really stepped up to the plate. Thom is tough on Crime, Strong on the Border and fights hard against Illegal Immigration. He loves our Military, our Vets and our great Second Amendment. I give Thom my Full and Total Endorsement!"
2019-06-25 21:38:42,Donald J. Trump,1143634648729378816,"Staff Sgt. David Bellavia - today, we honor your extraordinary courage, we salute your selfless service, and we thank you for carrying on the legacy of American Valor that has always made our blessed nation the strongest and mightiest in the world! https://t.co/pQ3dhhaSpE"
2019-06-25 20:27:19,Donald J. Trump,1143616683271233537,"Today, it was my great honor to present the Medal of Honor to Army Staff Sgt. David Bellavia (HERO) for his courageous actions as a squad leader in Fallujah. #MOH https://t.co/FkNCazkWWo"
2019-06-25 19:25:20,Donald J. Trump,1143601087238172672,"....Martha is strong on Crime and Borders, the 2nd Amendment, and loves our Military and Vets. She has my Complete and Total Endorsement!"
2019-06-25 19:25:20,Donald J. Trump,1143601086080659462,"A brave former fighter jet pilot and warrior, Senator Martha McSally of Arizona has done an outstanding job in D.C., and is fully supportive of our agenda – she is with us all the way...."
2019-06-25 14:42:30,Donald J. Trump,1143529907403788288,"....Iran’s very ignorant and insulting statement, put out today, only shows that they do not understand reality. Any attack by Iran on anything American will be met with great and overwhelming force. In some areas, overwhelming will mean obliteration. No more John Kerry &amp; Obama!"
2019-06-25 14:42:29,Donald J. Trump,1143529905323479041,"....The wonderful Iranian people are suffering, and for no reason at all. Their leadership spends all of its money on Terror, and little on anything else. The U.S. has not forgotten Iran’s use of IED’s &amp; EFP’s (bombs), which killed 2000 Americans, and wounded many more..."
2019-06-25 14:42:29,Donald J. Trump,1143529903238893568,"Iran leadership doesn’t understand the words “nice” or “compassion,” they never have. Sadly, the thing they do understand is Strength and Power, and the USA is by far the most powerful Military Force in the world, with 1.5 Trillion Dollars invested over the last two years alone.."
2019-06-25 12:11:59,Donald J. Trump,1143492027897778176,Stock Market is heading for one of the best months (June) in the history of our Country. Thank you Mr. President!
2019-06-25 12:01:30,Donald J. Trump,1143489389210812416,RT @SteveScalise: Thank you @IvankaTrump for joining me and our Republican Whip Team at the Capitol tonight to talk about the work you’re d…
2019-06-25 11:59:20,Donald J. Trump,1143488845859753985,RT @SharylAttkisson: Who thinks the debates just won't be the same without Donna Brazile working on them behind the scenes?
2019-06-25 11:59:09,Donald J. Trump,1143488800741400576,RT @mike_pence: Looking forward to being in Miami today to kick off the @TeamTrump Latino Coalition! Under @realDonaldTrump more Hispanic A…
2019-06-25 11:58:45,Donald J. Trump,1143488699579162624,"RT @VP: Mexico is keeping its promise &amp; now sending 15,000 troops to border to help with crisis. Meanwhile Dems won’t fund beds for migrant…"
2019-06-24 14:12:31,Donald J. Trump,1143159975277187072,I am pleased to announce the launch of https://t.co/D1MY2aPC7f. This new platform will allow my campaign and other Republicans to compete with the Democrats money machine. This has been a priority of mine and I’m pleased to share that it is up and running! #KeepAmericaGreat
2019-06-24 12:53:34,Donald J. Trump,1143140106557186048,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4’s or even 5’s. Now they stick, like a stubborn child, when we need rates cuts, &amp; easing, to make up for what other countries are doing against us. Blew it!"
2019-06-24 12:53:34,Donald J. Trump,1143140105076563970,"Despite a Federal Reserve that doesn’t know what it is doing - raised rates far too fast (very low inflation, other parts of world slowing, lowering &amp; easing) &amp; did large scale tightening, $50 Billion/month, we are on course to have one of the best Months of June in US history..."
2019-06-24 12:08:02,Donald J. Trump,1143128646162493441,....a dangerous journey. We don’t even need to be there in that the U.S. has just become (by far) the largest producer of Energy anywhere in the world! The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!
2019-06-24 12:08:01,Donald J. Trump,1143128642878410752,"China gets 91% of its Oil from the Straight, Japan 62%, &amp; many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been...."
2019-06-24 11:13:24,Donald J. Trump,1143114897640873984,RT @realDonaldTrump: https://t.co/SSWnX8oQ65
2019-06-24 11:13:16,Donald J. Trump,1143114863864156165,RT @realDonaldTrump: https://t.co/gw9cXRTtaR
2019-06-24 11:07:36,Donald J. Trump,1143113438085963778,RT @realDonaldTrump: https://t.co/GY34Y0OeAS
2019-06-24 11:06:30,Donald J. Trump,1143113161375191040,"RT @HolcombForIN: Governor Holcomb is working hard alongside @IvankaTrump, Commerce @SecretaryRoss &amp; America's top CEOs to scale Indiana's…"
2019-06-24 11:06:10,Donald J. Trump,1143113078084702209,RT @IvankaTrump: “The Trump administration served as a catalyst for perhaps the largest criminal justice public-private-partnership ever as…
2019-06-24 11:03:06,Donald J. Trump,1143112307335213056,RT @VP: Mexico has done more to secure our border in 10 days than Democrats in Congress have in 10 YEARS. The time to put Americans first i…
2019-06-24 00:50:08,Donald J. Trump,1142958047247130625,https://t.co/GY34Y0OeAS
2019-06-24 00:41:13,Donald J. Trump,1142955802950606848,https://t.co/gw9cXRTtaR
2019-06-23 14:46:46,Donald J. Trump,1142806204898582528,"When our Country had no debt and built everything from Highways to the Military with CASH, we had a big system of Tariffs. Now we allow other countries to steal our wealth, treasure, and jobs - But no more! The USA is doing great, with unlimited upside into the future!"
2019-06-23 13:20:39,Donald J. Trump,1142784534204882944,Wonderful Church service at Camp David. Thank you!
2019-06-23 12:13:26,Donald J. Trump,1142767618086133761,"I want to give the Democrats every last chance to quickly negotiate simple changes to Asylum and Loopholes. This will fix the Southern Border, together with the help that Mexico is now giving us. Probably won’t happen, but worth a try. Two weeks and big Deportation begins!"
2019-06-22 22:58:10,Donald J. Trump,1142567481124503552,"I never called the strike against Iran “BACK,” as people are incorrectly reporting, I just stopped it from going forward at this time!"
2019-06-22 21:24:47,Donald J. Trump,1142543983656218624,https://t.co/SSWnX8oQ65
2019-06-22 18:56:35,Donald J. Trump,1142506687020130306,"At the request of Democrats, I have delayed the Illegal Immigration Removal Process (Deportation) for two weeks to see if the Democrats and Republicans can get together and work out a solution to the Asylum and Loophole problems at the Southern Border. If not, Deportations start!"
2019-06-22 18:56:34,Donald J. Trump,1142506683660455936,"....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!"
2019-06-22 18:56:33,Donald J. Trump,1142506680300789761,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a short number of years, and existing verification is not acceptable. We are putting major additional Sanctions on Iran on Monday. I look forward to the day that....."
2019-06-22 16:55:49,Donald J. Trump,1142476293331738624,"I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful both with respect to the huge Dollars coming IN, &amp; on helping to make good Trade Deals. The Dow heading to BEST June in 80 years! Stock Market BEST June in 50 years!"
2019-06-22 16:48:26,Donald J. Trump,1142474437264105472,https://t.co/mUc2KZFZON
2019-06-22 16:47:20,Donald J. Trump,1142474158678466560,Thank you Jessica! https://t.co/gxNRfFqZCm
2019-06-22 15:59:33,Donald J. Trump,1142462134925877248,A great book! https://t.co/QwB46HVpmv
2019-06-22 15:58:50,Donald J. Trump,1142461955900420096,RT @EricTrump: The crowds and the spirit outside the Amway Center waiting for @realDonaldTrump is absolutely incredible! #Orlando #2020 #Ma…
